ID,Date,Content,Username,Retweets,Likes,Replies,Quote Tweets,Hashtags
1.65821E+18,2023-05-15 20:45:38+00:00,"Soon Nigerians will start selling #Hildabaci pots and spoons saying na wetin she use cook reach the level she dey now. Wait for it 😅.

#Hildabacicookathon
#GWR
#GuinnessWorldRecord",Successbiodun,0,1,0,0,"['Hildabaci', 'Hildabacicookathon', 'GWR', 'GuinnessWorldRecord']"
1.65821E+18,2023-05-15 20:45:32+00:00,Hilda Effion Bassey (Hilda Baci) is a definition of resilience. Couldn't be more proud ✨,AnalooIbadin,0,0,0,0,
1.65821E+18,2023-05-15 20:45:31+00:00,"100 HOURS 40 MINUTES!!!
HILDA BACI did that!!!

Put some RESPECT on her name!!!

CONGRATULATIONS 🥳🎊🎉❤

#Hildabacicookathon",fifininis,1,2,0,0,['Hildabacicookathon']
1.65821E+18,2023-05-15 20:45:30+00:00,"Congratulations HILDA BACI !!!!!

We celebrate you Queen ❤️🖤",Amchizzy,0,6,0,0,
1.65821E+18,2023-05-15 20:45:18+00:00,Congratulations to Hilda Baci. Thanks for making our country united again. It feels good to see Nigerians unite in love.,Iamchiwise,0,1,0,0,
1.65821E+18,2023-05-15 20:45:15+00:00,"🔘2008  ✅Dodge Caliber   ☑️First Body ☑️V4 Engine 💯 ☑️Manual Gear 💯 ☑️A/C? ✅2.5m owner

#hildabaci #Hildabacicookathon #saintobi #Obidients #GuinnessWorldRecord #Eurovision2023 #96hrs https://t.co/XPPBwvWWw0",nnjigs,0,0,0,0,"['hildabaci', 'Hildabacicookathon', 'saintobi', 'Obidients', 'GuinnessWorldRecord', 'Eurovision2023', '96hrs']"
1.65821E+18,2023-05-15 20:45:06+00:00,"Guinness World Record holder Hilda Baci 🥳🎉

If you want over 100 twitter followers: retweet &amp; drop your handle let’s follow each other.❤️.",sugakhay,211,461,317,4,
1.65821E+18,2023-05-15 20:44:57+00:00,The joy on the faces of Nigerians after the successful and tremendous world record set by Hilda Baci across all tribes and religion far exceed the presidential victory of the fraudulent Feb 25 elections by the ruling party. It was a mourning day when Tinubu was declared winner,haywhy23,0,0,0,0,
1.65821E+18,2023-05-15 20:44:55+00:00,@MistaFelix_ You no de check dm😂,ugwu_kj,0,0,0,0,
1.65821E+18,2023-05-15 20:44:42+00:00,“Why we’re yet to confirm Hilda Baci’s new record” – Guinness World Records reveals https://t.co/LiN0vkKmRH,idowu_amonpoint,0,0,0,0,
1.65821E+18,2023-05-15 20:44:42+00:00,"What a time to be alive! Congratulations, Hilda Baci. Your tenacity and diligence are worth emulating. 💐💐💐💐💐💐💐🇨🇲
#Hildabacicookathon #hildabaci #GuinnessWorldRecord",MC_Love17,0,0,0,0,"['Hildabacicookathon', 'hildabaci', 'GuinnessWorldRecord']"
1.65821E+18,2023-05-15 20:44:41+00:00,“Why we’re yet to confirm Hilda Baci’s new record” – Guinness World Records reveals https://t.co/S8MvrHxfiK,amonpointblog,0,0,0,0,
1.65821E+18,2023-05-15 20:44:35+00:00,"Make I just see this kind girl marry.. Hilda Baci wey dey break #GuinnessWorldRecord 

I no know why na girls wey dey put salt inside Amala full side here🙁🙁🙁",profbass4all,0,0,0,0,['GuinnessWorldRecord']
1.65821E+18,2023-05-15 20:44:33+00:00,@mrfunny____ Thank you so much 🥰,HildaaBaci,0,0,0,0,
1.65821E+18,2023-05-15 20:44:31+00:00,#GuinnessWorldRecord #96hrs #Guinessbookofrecord #hildabaci #Hildabacicookathon #mompha #PeterObi #nigeria,ibe_rarum,0,0,0,0,"['GuinnessWorldRecord', '96hrs', 'Guinessbookofrecord', 'hildabaci', 'Hildabacicookathon', 'mompha', 'PeterObi', 'nigeria']"
1.65821E+18,2023-05-15 20:44:26+00:00,@AslaphMbaziira @ReecyAtuhaire kindly google Hilda Baci,KatureebeMonica,0,1,1,0,
1.65821E+18,2023-05-15 20:44:23+00:00,@HolySpirit256 @tonnybanz02 Kare,elima_francis,0,2,0,0,
1.65821E+18,2023-05-15 20:44:19+00:00,"Congratulations Hilda Baci 🎉🎉

You're indeed an inspiration to young African women.
Nigerians are proud of you ♥️♥️
We love 😘😘

#100hrs
#GuinnessWorldRecord 
#Hildabacicookathon https://t.co/v9HTJQ0qd0",Tesnikenneth1,1,1,0,0,"['100hrs', 'GuinnessWorldRecord', 'Hildabacicookathon']"
1.65821E+18,2023-05-15 20:44:11+00:00,"It's official! Hilda Baci has broken the fourth Guinness World Record for the longest cooking marathon by an individual after cooking for more than 87 hours and 45 minutes, a record held by India's Lara Tondon in 2019.

#hildabaci #guinnessworldrecord #guinnessworldrecords https://t.co/AEsElt5tXn",AmoyeAlfred,0,3,0,0,"['hildabaci', 'guinnessworldrecord', 'guinnessworldrecords']"
1.65821E+18,2023-05-15 20:44:07+00:00,"Do not let fake HILDA BACI account opening all over social media scam you !!!

Be careful what you follow and get DMs from…",IkTripz,0,0,0,0,
1.65821E+18,2023-05-15 20:44:06+00:00,@TheChosenFofie Can u cook like Hilda Baci,EjidikeSamuel1,0,0,0,0,
1.65821E+18,2023-05-15 20:43:59+00:00,"Big congratulations queen Hilda Baci🥳🥳 100 hours nor be beans, you are a champion 💯💪😘

#Hildabacicookathon 
#hildabaci https://t.co/L01K1s1TQY",Succyba,0,8,0,0,"['Hildabacicookathon', 'hildabaci']"
1.65821E+18,2023-05-15 20:43:50+00:00,"Nigerian chef Hilda Baci just cook her way into the Guinness World Record with the longest ever cookathon by an individual. 

Congratulations Queen 👑👑 https://t.co/xUnPUVKXSd",lucaa_x1,0,12,0,1,
1.65821E+18,2023-05-15 20:43:50+00:00,"Ghana to receive $600 million from IMF this week

________
Hajia 4Real Sheldon Guinness World Record Scam Shatta Eeii #Hildabacicookathon #hildabaci #100hrs Stonebwoy Canada Firestick https://t.co/igCugPYaMn",blacctbwoy_,2,4,0,0,"['Hildabacicookathon', 'hildabaci', '100hrs']"
1.65821E+18,2023-05-15 20:43:49+00:00,"For Hilda Baci to still be talking that much after breaking the record, Omo her strength is on another level. I would’ve walked straight to bed and thank people later",chidera_an,0,0,0,0,
1.65821E+18,2023-05-15 20:43:48+00:00,@tonnybanz02 @HolySpirit256 😁😁😁,elima_francis,0,1,0,0,
1.65821E+18,2023-05-15 20:43:37+00:00,Congratulations Hilda Baci 🎉🎉🎉,all4chioma,0,0,0,0,
1.65821E+18,2023-05-15 20:43:36+00:00,@tonnybanz02 @HolySpirit256 Who???,elima_francis,0,1,0,0,
1.65821E+18,2023-05-15 20:43:32+00:00,Congratulations to Hilda baci,khaliboy225,0,1,0,0,
1.65821E+18,2023-05-15 20:43:32+00:00,"Nigerians don celebrate Hilda baci pass their president elect...😍😍🤣

What you see when results are uploaded in real time.😆😂",obinnai260,0,0,0,0,
1.65821E+18,2023-05-15 20:43:26+00:00,"I pray for you, the Lord will come through for you, concerning Jesus the bible said He had favour with God and all men. 
That will be you testimony in Jesus name. Amen 🙌

Congratulations Hilda Baci and Nigerians at Large",themidenations,0,0,0,0,
1.65821E+18,2023-05-15 20:43:25+00:00,"Guys if she can't cook for 100 hours, she is NOT the right person.....Run for your life😀😀😀😀😀

Hilda Baci is bae",OyiboChijioke,0,0,0,0,
